id,name,brand_,price,type,image,status,description
1,Bàn Ailen 01,AILEN,1.300.000 đ,ban,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/2-8c58547694c647f7a135a53c2892470f-large.jpg?v=1566942153707,highlight,"Phần mặt bàn làm từ gỗ công nghiệp MDF có khả năng chống ẩm tốt, các đường vân hiên đại.

Phần chân tháo lắp được làm từ sắt sơn tĩnh điện có khả năng chóng rỉ sét, độ bền hoàn hảo, thuận tiện trong việc di chuyển, tháo rời.

Được thiết kế tỉ mỉ đến từng góc độ cho ra bộ khung vững chãi có khả năng chịu lực tốt nhất. "
2,Bàn Ailen 02,AILEN,460.000 đ,ban,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/2-0e9aac17a08545028116b62187004f20-master.jpg?v=1566942598107,highlight,Thông tin sản phẩm đang được cập nhật.
3,Bàn Ailen 03,AILEN,670.000 đ,ban,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/t-g-2-master.jpg?v=1566942776260,hot,Thông tin sản phẩm đang được cập nhật.
4,Bàn Ailen 04,AILEN,1.400.000 đ,ban,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/1-05792e3fd4ab48d3ab2aa960df68bc37-master.jpg?v=1566942817537,hot,Thông tin sản phẩm đang được cập nhật.
5,Bàn Binas,BINAS,900.000 đ,ban,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/2-b2c68ff5ef6047f4b8d748d2a974ba8d-master.jpg?v=1566942315320,highlight,Thông tin sản phẩm đang được cập nhật.
6,Bàn ARABICA,ARABICA,600.000 đ,ban,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/den-30-do-d9f9e88fd07c483b99859b9df1bf7058-master.jpg?v=1566941959460,hot,Thông tin sản phẩm đang được cập nhật.
7,Ghế Luxury,LUXURY,570.000 đ,ghe,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/2-042bbb81b1b64e5287a9a94736f714bf-master.jpg?v=1566961266430,hot,"Mặt ngồi ghế hõm sâu, dáng ghế như một thác nước đổ xuống giữ cho người ngồi thoải mái bằng cách giảm áp lực lên lưng và đùi. Qua đó bạn có thể ngồi lâu hơn trên ghế mà không cảm thấy mỏi."
8,Ghế Woody Pinky,WOODY,1.250.000 đ,ghe,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/ghe-hong-cheo-30f7d63900384e489ee1e06c11186f3d-master.jpg?v=1566961050973,highlight,Thông tin sản phẩm đang được cập nhật.
9,Ghế Woody,WOODY,900.000 đ,ghe,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/g-2-master.jpg?v=1566961002770,hot,Thông tin sản phẩm đang được cập nhật.
10,Ghế Euro 02,EURO,750.000 đ,ghe,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/profile-ghebee-den-xeo-56ae996c8c7b4fb0826bc671eb5742d9-master.png?v=1566960921607,highlight,Thông tin sản phẩm đang được cập nhật.
11,Ghế Euro 01,EURO,960.000 đ,ghe,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/2-e75ada50bdb54ea99d0db5af778c40bb-master.jpg?v=1566960755693,highlight,Thông tin sản phẩm đang được cập nhật.
12,Kệ TV Hobu,HOBU,400.000 đ,ke_sach,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/tv-d-1-master.png?v=1566960438187,hot,Thông tin sản phẩm đang được cập nhật.
13,Kệ đẩy Hobu,HOBU,750.000 đ,ke_sach,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/hobu-d-1-da4001c724d64bbba3caa56ed2be6a6e-master.png?v=1566960379253,highlight,Thông tin sản phẩm đang được cập nhật.
14,Kệ Treo Poplar,POPLAR,500.000 đ,ke_sach,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/30-do-trang-8a897fc42fea4bcdbe3b5cb829f3b883-master.jpg?v=1566960321110,hot,Thông tin sản phẩm đang được cập nhật.
15,Tủ Giày Hobu,HOBU,3.100.000 đ,tu_quan_ao,http://bizweb.dktcdn.net/thumb/large/100/364/402/products/30-do-2021fed95b944be3873d99cbd3dd93ff-master.jpg?v=1566960549770,hot,Thông tin sản phẩm đang được cập nhật.
